Timestamp,Em qual Estado você mora?,Em qual cidade você mora?,Qual o seu sexo?,Qual a sua faixa etária?,Qual o seu nível de formação?,"Se você fez pelo menos graduação, qual a sua área de formação?",Em que tipo de organização você trabalha?,A organização na qual você trabalha atua em que área?,Qual a sua principal ocupação/cargo?,Quantos anos de experiência você possui em Visualização de dados?,Em que proporção você trabalha com Visualização de Dados?,Você foi contratado para trabalhar somente com Visualização de Dados?,"Das funções abaixo, qual a melhor descreve você no seu trabalho?",Qual a sua faixa salarial mensal?,Como a sua organização usa Visualização de Dados? Escolha todas as opções que se aplicam,Que tipo de métodos/ferramentas você usa na sua organização para criar visualizações? Marque todas as que você utiliza.,Você tem poder de decisão para escolher as ferramentas de trabalho?,Que tecnologias você usa para visualizar dados?,Você é obrigado(a) a trabalhar com ferramentas ou tecnologias de que não gosta?,Que outras tecnologias você gostaria de usar para criar visualizações?,Como você apresenta suas visualizações? Selecione todas as opções que se aplicam.,Que tipos de gráficos você produziu nos últimos 6 meses?,Quem é o público que vê as suas visualizações?,Que nível de conhecimento em visualização o seu público possui?,Qual o objetivo do seu público com relação a suas visualizações?,Você aprendeu Visualização de Dados de modo formal na escola/universidade ou sozinho(a)?,Quais são as melhores formas para aprender visualização de dados?,Você participou de algum curso/workshop em visualização de dados nos últimos 12 meses?,Que outras habilidades/competências você considera importantes para atuar em Visualização de dados?,Você compartilha os seus conhecimentos de Visualização de Dados?,"Se você respondeu sim à pergunta acima, de que forma você compartilha seus conhecimentos?",Você participa de alguma sociedade ou grupo de estudos voltado para Visualização de dados?,"Se você respondeu sim à pergunta acima, qual(is)?"
10/3/2019 21:32:28,Rio Grande do Sul (RS),Porto Alegre,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciência da Computação,Setor Público,Ciência,Bolsista de doutorado,3 anos,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$2.000 e R$5.000,"Análise, Machine Learning","Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, ggplot2, Plotly, Python, R",Raramente,"Angular, Illustrator, kepler.gl, Power BI, Qlik, Tableau, WebGL","Embutida numa página Web interativa, Dashboard","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Diagrama de redes/grafos (nós e arestas)","Público em geral, Analistas, Cientistas","Básico, Intermediário, Avançado","Jornalismo/Comunicação/Explicação, Análise, Pesquisa",A maior parte em ambiente formal,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Matemática, Programação, Design, Comunicação",Não,,Não,
10/3/2019 22:12:54,São Paulo (SP),São Paulo,Masculino,Entre 45 e 55 anos,Pós-graduação: Mestrado,Comunicação / Design ,Setor Privado,Educação / Cultura,Analista / Redator,7,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Designer,Entre R$15.000 e R$20.000,"Análise, Fase embrionária de utilização ","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), IBM cognos","Em parte, pelo menos posso escolher de uma lista de ferramentas","R, Tableau, Pen & Paper",Algumas vezes,"Cytoscape, D3, Gephi, Mapbox, Power BI, R, Tableau","Embutida numa página Web interativa, Dashboard, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Mapa de densidade, Diagrama de Fluxo (sankey, etc)","Analistas, Gerentes",Básico,"Análise, Pesquisa, Supervisão de planejamento",A maior parte de modo autodidata,"Workshops ou cursos presenciais, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Programação, Design, Comunicação, Estatística",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Sim,"Escola de dados, como aprendiz"
10/3/2019 22:46:31,Rio de Janeiro (RJ),Duque de Caxias,Masculino,Entre 25 e 35 anos,Ensino médio,Não ,Setor Público,Finanças ,Consultor de ciência e tecnologia ,3,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Nenhuma opção acima me descreve,Entre R$2.000 e R$5.000,Análise,"Google earth, qgis",Não,"Excel, QGIS",Frequentemente,"ArcGis, Excel, Illustrator, Leaflet, Mapbox, Plotly, Processing, Python, QGIS, Web Components, WebGL, Pen & Paper","Embutida numa página Web interativa, Documento",Gráfico de barras / histograma,Gerentes,,Análise,"Metade formalmente, metade autodidata","Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação",Não,,Não,
10/3/2019 23:20:26,Bahia (BA),Salvador,Masculino,Entre 18 e 25 anos,Graduação,Graduando em Engenharia Elétrica,Setor Privado,Telecomunicações,Estagiário em Engenharia de Rede (manutenção/otimização/qualidade),2,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Menos de R$2.000,"Análise, Machine Learning, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","Excel, Microstrategy, Power BI, R",Frequentemente,"D3, ggplot2, Illustrator, Java, Plotly, Python, R, Tableau","Embutida numa página Web interativa, Dashboard, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Mapa com geolocalizações","Engenheiros, Gerentes, Executivos",Básico,"Análise, Auxílio na tomada de decisão","Metade formalmente, metade autodidata","Workshops ou cursos presenciais, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Não,
10/4/2019 7:19:59,Santa Catarina (SC),Florianópolis,Feminino,Entre 25 e 35 anos,Graduação,Artes,Setor Privado,Jornalismo,Designer,12 anos,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições","Líder (gerente, diretor, coordenador, etc.)",Entre R$2.000 e R$5.000,"Análise, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"Highcharts, Illustrator, Mapbox, Tableau",Nunca,"D3, Angular, Java, kepler.gl, Plotly, Python, QGIS, R","Embutida numa página Web interativa, Dashboard, Documento, Ferramenta, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)",Público em geral,Básico,Jornalismo/Comunicação/Explicação,A maior parte de modo autodidata,"Workshops ou cursos presenciais, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,
10/4/2019 9:48:06,São Paulo (SP),São Paulo,Masculino,Entre 35 e 45 anos,Graduação,Jornalismo e Design Gráfico,Setor Privado,Jornalismo,Infografista,11,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Designer,Entre R$10.000 e R$15.000,Comunicação,"Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"D3, Excel, Illustrator, Leaflet, QGIS, R, WebGL",Raramente,"Python, React","Embutida numa página Web interativa, Página Web Estática, Publicação Impressa","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de pontos, Diagrama de Fluxo (sankey, etc)",Público em geral,Básico,Jornalismo/Comunicação/Explicação,A maior parte de modo autodidata,"Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação, Jornalismo, no meu caso. É preciso entender o peso da informação, o que é notícia, qual é o lide, questionar a fonte a fonte dos dados, etc",Sim,"Oriento colegas no trabalho, Postagens em blogs e outras mídias, Ministro cursos (fora do meu ambiente de trabalho)",Não,
10/4/2019 9:50:31,São Paulo (SP),São Paulo,Masculino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Ciência da Computação,Setor Público,Educação,Professor Titular,3,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$15.000 e R$20.000,"Análise, Comunicação, Marketing, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"Angular, ggplot2, Leaflet, Mapbox, Plotly, Python, React, Vue, Matplotlib",Nunca,,"Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas)","Público em geral, Analistas, Engenheiros, Cientistas, Médicos e outros profissionais de saúde",Básico,"Jornalismo/Comunicação/Explicação, Análise, Pesquisa",A maior parte de modo autodidata,"Livros, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design",Sim,Oriento colegas no trabalho,Não,
10/4/2019 10:45:12,Rio Grande do Sul (RS),Pelotas,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciência da Computação/Marketing,Setor Privado,Startup Data Academic e Data Health,Fundador e Diretor de Marketing,6,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$2.000 e R$5.000,"Análise, Machine Learning, Marketing","Bibliotecas de gráficos (plotly, highcharts, etc), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"Excel, ggplot2, Illustrator, Power BI, Python, React, Vue, Web Components, Canvas",Nunca,"Canvas, Matplotlib","Embutida numa página Web interativa, Dashboard, Apresentação, Documento, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth)","Cientistas, Gerentes, Executivos",Avançado,"Análise, Pesquisa","Metade formalmente, metade autodidata","Workshops ou cursos presenciais, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Programação, Design",Sim,"Oriento colegas no trabalho, Postagens em blogs e outras mídias",Não,
10/4/2019 11:16:58,Santa Catarina (SC),Florianopolis,Feminino,Entre 25 e 35 anos,Graduação,Design Gráfico,Setor Privado,Jornalismo,Diagramador,1,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Designer,Entre R$2.000 e R$5.000,Comunicação,"Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas",Illustrator,Nunca,,"Embutida numa página Web interativa, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza",Público em geral,Básico,Jornalismo/Comunicação/Explicação,"Metade formalmente, metade autodidata","Workshops ou cursos presenciais, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,
10/4/2019 12:42:18,Ceará (CE),Fortaleza,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,,Sou trabalhador autônomo (free-lancer),Ciência,Gestor,5,,"Não, Visualização de Dados é apenas uma das minhas atribuições",Estudante,Entre R$2.000 e R$5.000,Educação,"Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de gráficos (plotly, highcharts, etc), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"ArcGis, Excel, ggplot2, Plotly, QGIS, R, Tableau",Nunca,"D3, Java, Leaflet, Power BI, Python, Web Components","Dashboard, Apresentação","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de Fluxo (sankey, etc)","Público em geral, Cientistas","Básico, Intermediário","Jornalismo/Comunicação/Explicação, Análise, Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design, Comunicação",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho)",Não,
10/4/2019 12:58:52,Ceará (CE),Fortaleza,Masculino,Entre 25 e 35 anos,Graduação,Tecnologia da Informação,Setor Privado,Tecnologia,FullStack Developer,,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Desenvolvedor,Entre R$2.000 e R$5.000,"Análise, Machine Learning","Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","Leaflet, Mapbox, React",Raramente,D3,"Embutida numa página Web interativa, Dashboard","Gráfico de barras / histograma, Gráfico de Pizza","Analistas, Gerentes",Básico,"Análise, Pesquisa",A maior parte em ambiente formal,"Disciplina na educação formal, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design, Comunicação",Não,,Não,
10/4/2019 14:06:39,São Paulo (SP),Campinas,Feminino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Ciências da Computação,Setor Público,Educação,Postdoutorado,9,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,"Entre R$5.000,00 e R$10.000","Análise, Machine Learning","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Angular, ggplot2, Java, Mapbox, Plotly, Python, R, React, Matplotlib",,,"Embutida numa página Web interativa, Notebook interativo, Apresentação","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Engenheiros, Cientistas",Avançado,"Análise, Pesquisa","Metade formalmente, metade autodidata","Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Ensinando outras pessoas",Sim,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas",Não,
10/4/2019 14:09:15,Rio Grande do Sul (RS),Lajeado,Masculino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Engenharia da Computação,Setor Privado,Educação,professor universitário,5,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,"Entre R$5.000,00 e R$10.000","Análise, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"Excel, Gephi, Java, Processing, Python, WebGL, P5/Processing, Matplotlib",Nunca,"D3, Plotly","Notebook interativo, Apresentação, Ferramenta","Gráfico de barras / histograma, Gráfico de dispersão (scatter plot), Diagrama de redes/grafos (nós e arestas)","Público em geral, Cientistas, Gerentes",Básico,"Análise, Educação",A maior parte de modo autodidata,"Livros, Disciplina na educação formal, Exemplos, Praticando diretamente em um projeto",Não,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Não,
10/4/2019 15:26:46,São Paulo (SP),São Paulo,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Ciência da computação,Setor Público,Educação,Analista de sistemas,8,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,"Entre R$5.000,00 e R$10.000","Análise, Machine Learning, Comunicação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, Gephi, Java, Python, Matplotlib, Bokeh",Raramente,"Plotly, Power BI, Tableau","Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Mapa de densidade","Público em geral, Analistas",Básico,"Análise, Pesquisa",A maior parte em ambiente formal,"Livros, Workshops ou cursos presenciais, Exemplos, Tutoriais em vídeo, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação",Sim,"Oriento colegas no trabalho, Postagens em blogs e outras mídias, Ministro cursos como parte do meu trabalho",Não,
10/4/2019 15:29:36,Ceará (CE),Fortaleza,Masculino,Entre 18 e 25 anos,Graduação,,Setor Público,Ciência,Estudante,0.5,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Desenvolvedor,Menos de R$2.000,"Análise, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Angular, Excel, Illustrator, R, Tableau, WebGL",Raramente,,"Embutida numa página Web interativa, Apresentação, Documento, Ferramenta, Página Web Estática","Gráfico de barras / histograma, Gráfico de Pizza, Mapa de densidade","Público em geral, Analistas, Engenheiros, Cientistas, Designers","Básico, Intermediário","Entretenimento, Análise, Pesquisa",A maior parte em ambiente formal,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Matemática, Programação, Design, Comunicação",Não,,Não,
10/4/2019 15:55:39,Fora do Brasil,"Estocolmo, Suécia",Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciências da Computação ,Setor Privado,Eletrodomésticos ,Data Scientist,4,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","Python, Qlik, Matplotlib",Algumas vezes,"D3, Python, Tableau, Canvas","Dashboard, Apresentação","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth)","Analistas, Gerentes, Executivos","Básico, Intermediário",Análise,"Metade formalmente, metade autodidata","Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Programação, Design, Comunicação",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Não,
10/4/2019 16:27:52,São Paulo (SP),São Paulo,Masculino,Entre 25 e 35 anos,Graduação,design,Setor Privado,saúde,design,menos de 1 ano,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Designer,"Entre R$5.000,00 e R$10.000","Análise, Comunicação, Marketing","Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.)",Sim,"D3, Excel, Illustrator, Power BI, Processing, Python",Nunca,"D3, Excel, Gephi, Illustrator, Processing, Python","Dashboard, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Diagrama de Fluxo (sankey, etc)",Gerentes,Básico,"Jornalismo/Comunicação/Explicação, Análise, Pesquisa, estratégia de negócio",A maior parte de modo autodidata,"Tutoriais em vídeo, Praticando diretamente em um projeto",Não,"Matemática, Programação",Não,,Não,
10/4/2019 17:21:46,Ceará (CE),Fortaleza,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Computação,Setor Público,Educação,Professor,0,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,"Entre R$5.000,00 e R$10.000","Marketing, Educação","Notebooks interativos (tipo Observable, jupyter, ipython, etc)",Sim,"Excel, Leaflet, Plotly, Python, Matplotlib",Algumas vezes,,"Notebook interativo, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Mapa de densidade, Diagrama de redes/grafos (nós e arestas)",Público em geral,Básico,"Jornalismo/Comunicação/Explicação, Educação",A maior parte de modo autodidata,"Livros, Disciplina na educação formal, Praticando diretamente em um projeto, Ensinando outras pessoas",Sim,"Programação, Design",Não,,Não,
10/4/2019 17:56:13,Rio de Janeiro (RJ),Rio de Janeiro,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Computer Science,Setor Privado,Educação,Professor,11,Visualização de dados é o principal foco do meu trabalho,Sim,Professor,Acima de R$25.000,"Análise, Machine Learning, Comunicação, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Angular, Mapbox, kepler.gl, Plotly, Processing, Python, Tableau, Vega, WebGL, Canvas, P5/Processing, Matplotlib",Nunca,,"Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Público em geral, Analistas, Cientistas","Intermediário, Avançado","Jornalismo/Comunicação/Explicação, Análise, Pesquisa",A maior parte em ambiente formal,"Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Não,
10/4/2019 19:15:18,Rio de Janeiro (RJ),Rio de Janeiro,Feminino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Engenharia de requisitos,Setor Privado,Educação,Estudante,1,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Estudante,Menos de R$2.000,"Análise, Machine Learning, Mineria de texto","Notebooks interativos (tipo Observable, jupyter, ipython, etc)",Sim,Python,Nunca,"Web Components, Matplotlib","Dashboard, Ferramenta","Gráfico de dispersão (scatter plot), Diagrama de redes/grafos (nós e arestas)",Analistas,Intermediário,"Análise, Pesquisa",A maior parte de modo autodidata,"Disciplina na educação formal, Trabalhando em equipe com pessoas especialistas",Não,"Matemática, Programação",Não,,Não,
10/4/2019 20:30:09,Bahia (BA),Salvador,Masculino,Entre 25 e 35 anos,Graduação,Licenciatura em Computação,Sou trabalhador autônomo (free-lancer),Educação,Analista de Dados,1 ano,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Menos de R$2.000,"Análise, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Excel, ggplot2, Highcharts, Plotly, Python, R, Tableau, Matplotlib",Raramente,"Angular, Highcharts, Power BI, React, Web Components","Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Documento, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade",Gerentes,Básico,"Análise, Pesquisa, Educação",A maior parte em ambiente formal,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação, Design",Não,,Sim,Grupo de Visualização de dados do Mestrado em Ciências da Computação
10/4/2019 20:36:53,Ceará (CE),Fortaleza,Masculino,Entre 18 e 25 anos,Graduação,Engenharia de produção,Setor Privado,Moda praia,Estagiário de BI,4 meses,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Menos de R$2.000,Decisões e acompanhamento gerencial,"Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.)",Sim,Power BI,Frequentemente,"D3, Plotly, Python, Matplotlib",Dashboard,"Gráfico de barras / histograma, Gráfico de linhas, Mapa de densidade, Diagrama de Fluxo (sankey, etc)","Analistas, Engenheiros, Gerentes, Executivos",Básico,Análise,A maior parte de modo autodidata,"Livros, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto",Não,"Design, Comunicação",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas",Sim,Grupos de Power BI no Facebook e de ciência de dados em geral no Facebook e Slack
10/4/2019 23:40:26,Rio Grande do Sul (RS),Porto Alegre,Feminino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Computação,Setor Privado,Educação,Professor,26,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Educação","Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Excel, Highcharts, Leaflet, Plotly",Raramente,Tableau,"Embutida numa página Web interativa, Notebook interativo, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), coordenadas paralelas, dense pixel display",Público em geral,"Básico, Intermediário","Jornalismo/Comunicação/Explicação, Análise, Educação",A maior parte de modo autodidata,"Livros, Exemplos, Praticando diretamente em um projeto",Não,"Programação, Design",Sim,Ministro cursos como parte do meu trabalho,Não,
